Symbol,Name,Country,IPO Year,Volume,Sector,Industry
ITRM,Iterum Therapeutics plc Ordinary Share,Ireland,2018,261835,Health Care,Biotechnology: Pharmaceutical Preparations
ITRN,Ituran Location and Control Ltd. Ordinary Shares,Israel,2005,86623,Technology,Electronic Components
IVA,Inventiva S.A. American Depository Shares,France,2020,9203,Health Care,Biotechnology: Pharmaceutical Preparations
IVCA,Investcorp AI Acquisition Corp. Class A Ordinary Share,Cayman Islands,2022,7166,Finance,Blank Checks
IVCAW,Investcorp AI Acquisition Corp. Warrant,Cayman Islands,2022,108,Finance,Blank Checks
IVDA,Iveda Solutions Inc. Common Stock,United States,,20153,Technology,Computer Software: Prepackaged Software
IVF,INVO Fertility Inc. Common Stock,United States,,2748699,Health Care,Medical/Dental Instruments
IVP,Inspire Veterinary Partners Inc. Class A Common Stock,United States,2023,23330,Consumer Staples,Farming/Seeds/Milling
IVVD,Invivyd Inc. Common Stock,United States,2021,941848,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
IXHL,Incannex Healthcare Inc. Common Stock,Australia,,1375672,Health Care,Biotechnology: Pharmaceutical Preparations
