<ticker>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>
ATMCR,D,20230727,0.194,0.194,0.15,0.1502,16700
ATMCU,D,20230727,10.63,10.63,10.63,10.63,100
ATMV,D,20230727,10.47,10.48,10.47,10.48,800
ATMVU,D,20230727,10.59,10.59,10.59,10.59,100
ATNF,D,20230727,0.91,0.93,0.8953,0.9,36700
ATNFW,D,20230727,0.0094,0.0094,0.0094,0.0094,24000
ATNI,D,20230727,37.87,38.05,36.34,36.36,34600
ATOM,D,20230727,7.96,8.09,7.75,7.79,109900
ATOS,D,20230727,1.08,1.09,1.03,1.04,593500
ATRA,D,20230727,1.96,1.98,1.79,1.79,714800
ATRC,D,20230727,57.82,57.995,54.45,54.74,434500
ATRI,D,20230727,536.4635,564.35,536.4635,563.2801,4800
ATRO,D,20230727,20.91,21.05,20.2,20.34,115500
ATSG,D,20230727,19.88,19.91,19.41,19.5,357800
ATVI,D,20230727,92.67,92.79,92.14,92.14,9448700
ATXG,D,20230727,3.74,3.81,3.6,3.6,54500
ATXI,D,20230727,1.12,1.14,1.05,1.05,30300
ATXS,D,20230727,8.58,8.68,8.25,8.48,259100
AUBN,D,20230727,21.7,21.89,21.7,21.88,1700
AUDC,D,20230727,10.05,10.0804,9.84,9.84,88300
AUGX,D,20230727,3.97,4.14,3.89,3.97,131100
AUID,D,20230727,7.45,8.81,7.25,7.5,79200
AUPH,D,20230727,11.09,11.1,10.91,11.07,1858100
AUR,D,20230727,3.03,3.03,2.71,2.73,9646300
AURA,D,20230727,11.66,12.35,11.66,11.93,90000
AURC,D,20230727,19.9,23,17.72,20.66,278600
AURCW,D,20230727,0.18,0.2053,0.15,0.1925,85800
AUROW,D,20230727,0.52,0.52,0.495,0.495,1700
AUTL,D,20230727,2.79,2.79,2.645,2.7,443000
AUUD,D,20230727,0.4314,0.4379,0.403,0.432,422400
AUVI,D,20230727,0.8501,0.8737,0.82,0.82,212300
AUVIP,D,20230727,4.04,4.04,3.5235,3.8055,5200
AVAH,D,20230727,1.81,1.855,1.6647,1.73,121000
AVAV,D,20230727,96,96.315,93.125,94.26,144100
AVDL,D,20230727,13.99,14.11,13.64,13.74,449700
AVDX,D,20230727,12.35,12.35,11.98,12.05,2883000
AVGO,D,20230727,908.5,909.85,886,893.53,2192100
AVGR,D,20230727,0.79,0.876,0.79,0.85,102600
AVID,D,20230727,23.44,23.55,23.01,23.29,640300
AVIR,D,20230727,3.44,3.45,3.32,3.33,401600
AVNW,D,20230727,31,31.31,30.25,30.35,41800
AVO,D,20230727,11.95,12.03,11.68,11.73,109800
AVPT,D,20230727,6,6.09,5.87,5.89,491000
AVRO,D,20230727,1.5,1.52,1.47,1.49,1581200
AVT,D,20230727,48.34,48.835,47.94,48.06,843000
AVTA,D,20230727,26.24,26.24,25.82,25.91,147600
AVTE,D,20230727,17.03,17.28,16.335,16.6,43300
AVTX,D,20230727,0.235,0.235,0.1962,0.206,2556300
AVXL,D,20230727,8.04,8.06,7.6201,7.66,1040500
AWH,D,20230727,2.45,2.52,2.3087,2.52,81200
AWIN,D,20230727,0.3452,0.35,0.261,0.2699,4066600
AWINW,D,20230727,0.042,0.0478,0.0313,0.0384,123800
AWRE,D,20230727,1.52,1.64,1.48,1.64,152500
AXDX,D,20230727,6.11,6.2,5.915,5.99,15000
AXGN,D,20230727,8.83,8.93,8.15,8.18,250000
AXLA,D,20230727,0.1984,0.209,0.19,0.19,54200
AXNX,D,20230727,54.87,55.2485,52.77,53,1166400
AXON,D,20230727,181.24,185.545,180.47,182.09,909200
AXSM,D,20230727,76.63,79.39,76.4001,77.39,842700
AXTI,D,20230727,3.03,3.06,2.92,2.92,169800
AY,D,20230727,25,25.22,24.2,24.23,467200
AYRO,D,20230727,0.9098,0.9098,0.86,0.8821,122900
AYTU,D,20230727,1.63,1.7031,1.63,1.65,15000
AZ,D,20230727,1.79,1.96,1.79,1.8,34700
AZN,D,20230727,68.73,69.11,68.115,68.14,5257300
AZPN,D,20230727,173.75,175.33,172.73,173.01,194900
AZTA,D,20230727,47.96,48.17,46,46.18,658900
AZYO,D,20230727,2.2501,2.32,2.1591,2.17,11700
BABX,D,20230727,25.37,25.37,24.13,24.27,42100
BACK,D,20230727,0.1085,0.1097,0.102,0.103,408900
BAER,D,20230727,6.13,6.13,5.755,5.78,3800
BAERW,D,20230727,0.23,0.25,0.23,0.25,9200
BAFN,D,20230727,13.72,13.84,13.35,13.35,10700
BAND,D,20230727,14.69,14.87,13.695,13.77,294500
BANF,D,20230727,102.86,102.86,98.99,99.79,93800
BANFP,D,20230727,26.66,26.66,26.5,26.66,800
BANL,D,20230727,1.68,1.69,1.45,1.46,264200
BANR,D,20230727,47.95,48.53,46.59,46.88,196100
BANX,D,20230727,16.55,16.745,16.55,16.7,14500
BAOS,D,20230727,8.09,8.11,7.8,7.8,9100
BASE,D,20230727,16.29,16.54,16.015,16.1,304000
BATRA,D,20230727,44.36,44.36,43.22,43.66,177200
BATRK,D,20230727,38.07,38.14,37.39,37.55,368900
BBCP,D,20230727,8.04,8.04,7.9001,7.94,39100
BBGI,D,20230727,0.95,0.95,0.9206,0.9266,17200
BBH,D,20230727,162.12,162.12,160.15,160.15,5700
BBIG,D,20230727,4.11,5.09,3.86,4.73,17954200
BBIO,D,20230727,32.44,32.74,31.59,32.13,2018400
BBLG,D,20230727,1.35,1.398,1.25,1.25,90500
